BIL,KOD PROJEK & NAMA PROJEK,KOD PEMAJU & NAMA PEMAJU,NO. PERMIT,STATUS PROJEK KESELURUHAN,RINGKASAN PROJEK,Scraped_Date,Scraped_Timestamp
1,"4818-28
TAMAN VISTA BELIMBING","4818
NKS DEVELOPMENT SDN. BHD.",4818-28/11-2019/0905(P),SIAP DENGAN CCC,,2025-12-12,2025-12-12 19:33:25
2,"4818-27
TAMAN MERAK MAS","4818
NKS DEVELOPMENT SDN. BHD.",4818-27/2540/2012(11),SIAP DENGAN CCC,,2025-12-12,2025-12-12 19:33:25
3,"4818-26
TAMAN PULAU GADONG JAYA","4818
NKS DEVELOPMENT SDN. BHD.",4818-26/2223/2009(12),SIAP DENGAN CCC,,2025-12-12,2025-12-12 19:33:25
4,"4818-25
TAMAN PULAU GADONG JAYA","4818
NKS DEVELOPMENT SDN. BHD.",4818-25/1472/2010(07),SIAP DENGAN CCC,,2025-12-12,2025-12-12 19:33:25
5,"4818-24
TAMAN DELIMA RAYA","4818
NKS DEVELOPMENT SDN. BHD.",4818-24/2163/2008(10),SIAP DENGAN CCC,,2025-12-12,2025-12-12 19:33:25
6,"4818-22
TAMAN MERBOK","4818
NKS DEVELOPMENT SDN. BHD.",4818-22/2827/2006(12),SIAP DENGAN CFO,,2025-12-12,2025-12-12 19:33:25
7,"4818-20
TAMAN SERI SONGKET","4818
NKS DEVELOPMENT SDN. BHD.",4818-20/507/2006(03),SIAP DENGAN CFO,,2025-12-12,2025-12-12 19:33:25
