BIL,KOD PROJEK & NAMA PROJEK,KOD PEMAJU & NAMA PEMAJU,NO. PERMIT,STATUS PROJEK KESELURUHAN,RINGKASAN PROJEK,Scraped_Date,Scraped_Timestamp
30,"6575-23
TAMAN BUKIT TAMBUN PERDANA 2","6575
SCIENTEX HEIGHTS SDN. BHD.",6575-23/05-2023/0111(A)-(L),SIAP DENGAN CCC,,2025-12-12,2025-12-12 19:44:55
31,"6575-22
SCIENTEX DURIAN TUNGGAL 2","6575
SCIENTEX HEIGHTS SDN. BHD.",6575-22/04-2024/0840(R)-(L),SIAP DENGAN CCC,,2025-12-12,2025-12-12 19:44:55
32,"6575-21
SCIENTEX DURIAN TUNGGAL 2","6575
SCIENTEX HEIGHTS SDN. BHD.",6575-21/02-2023/0004(A)-(L),SIAP DENGAN CCC,,2025-12-12,2025-12-12 19:44:55
33,"6575-20
SCIENTEX DURIAN TUNGGAL 2","6575
SCIENTEX HEIGHTS SDN. BHD.",6575-20/12-2022/0323(A)-(L),SIAP DENGAN CCC,,2025-12-12,2025-12-12 19:44:55
34,"6575-19
SCIENTEX DURIAN TUNGGAL 2","6575
SCIENTEX HEIGHTS SDN. BHD.",6575-19/11-2022/0781(A)-(L),SIAP DENGAN CCC,,2025-12-12,2025-12-12 19:44:55
35,"6575-18
SCIENTEX DURIAN TUNGGAL 2","6575
SCIENTEX HEIGHTS SDN. BHD.",6575-18/07-2022/0110(A)-(L),SIAP DENGAN CCC,,2025-12-12,2025-12-12 19:44:55
36,"6575-17
TAMAN BUKIT TAMBUN PERDANA","6575
SCIENTEX HEIGHTS SDN. BHD.",6575-17/05-2022/0293(P),SIAP DENGAN CCC,,2025-12-12,2025-12-12 19:44:55
37,"6575-16
TAMAN BUKIT TAMBUN PERDANA","6575
SCIENTEX HEIGHTS SDN. BHD.",6575-16/12-2021/01304(P),SIAP DENGAN CCC,,2025-12-12,2025-12-12 19:44:55
38,"6575-15
TAMAN BUKIT TAMBUN PERDANA","6575
SCIENTEX HEIGHTS SDN. BHD.",6575-15/11-2021/01132(P),SIAP DENGAN CCC,,2025-12-12,2025-12-12 19:44:55
39,"6575-14
SCIENTEX HEIGHTS SDN BHD","6575
SCIENTEX HEIGHTS SDN. BHD.",6575-14/10-2022/03086(P),SIAP DENGAN CCC,,2025-12-12,2025-12-12 19:44:55
40,"6575-13
SCIENTEX HEIGHTS SDN BHD","6575
SCIENTEX HEIGHTS SDN. BHD.",6575-13/07-2021/0641(P),SIAP DENGAN CCC,,2025-12-12,2025-12-12 19:44:55
41,"6575-12
SCIENTEX HEIGHTS SDN BHD","6575
SCIENTEX HEIGHTS SDN. BHD.",6575-12/06-2021/0510(P),SIAP DENGAN CCC,,2025-12-12,2025-12-12 19:44:55
42,"6575-11
SCIENTEX HEIGTHS SDN BHD","6575
SCIENTEX HEIGHTS SDN. BHD.",6575-11/05-2021/0422(P),SIAP DENGAN CCC,,2025-12-12,2025-12-12 19:44:55
43,"6575-10
SCIENTEX HEIGHTS SDN BHD","6575
SCIENTEX HEIGHTS SDN. BHD.",6575-10/05-2021/0418(P),SIAP DENGAN CCC,,2025-12-12,2025-12-12 19:44:55
44,"6575-9
SCIENTEX HEIGHTS SDN BHD","6575
SCIENTEX HEIGHTS SDN. BHD.",6575-9/05-2022/01869(P),SIAP DENGAN CCC,,2025-12-12,2025-12-12 19:44:55
45,"6575-8
SCIENTEX HEIGHTS SDN BHD","6575
SCIENTEX HEIGHTS SDN. BHD.",6575-8/07-2020/0654(P),SIAP DENGAN CCC,,2025-12-12,2025-12-12 19:44:55
46,"6575-7
SCIENTEX HEIGHTS SDN BHD","6575
SCIENTEX HEIGHTS SDN. BHD.",6575-7/05-2021/02186(P),SIAP DENGAN CCC,,2025-12-12,2025-12-12 19:44:55
47,"6575-6
SCIENTEX HEIGHTS SDN BHD","6575
SCIENTEX HEIGHTS SDN. BHD.",6575-6/05-2020/0496(P),SIAP DENGAN CCC,,2025-12-12,2025-12-12 19:44:55
48,"6575-5
THE HEIGHTS RESIDENCE - TAMAN MUZAFFAR HEIGHTS","6575
SCIENTEX HEIGHTS SDN. BHD.",6575-5/07-2019/01982(P),SIAP DENGAN CCC,,2025-12-12,2025-12-12 19:44:55
49,"6575-4
TAMAN MUZAFFAR HEIGHTS","6575
SCIENTEX HEIGHTS SDN. BHD.",6575-4/01-2019/01218(P),SIAP DENGAN CFO,,2025-12-12,2025-12-12 19:44:55
50,"6575-3
TAMAN MUZAFFAR HEIGHTS","6575
SCIENTEX HEIGHTS SDN. BHD.",6575-3/1691/2011(03),SIAP DENGAN CCC,,2025-12-12,2025-12-12 19:44:55
51,"6575-1
TAMAN MUZAFFAR HEIGHTS","6575
SCIENTEX HEIGHTS SDN. BHD.",6575-1/1220/2008(07),SIAP DENGAN CFO,,2025-12-12,2025-12-12 19:44:55
